"" "gene.id" "p.value" "q.value" "log.fc" "test.stat"
"241" "YJL089W" 3.04126436352922e-11 7.42386248739111e-10 3.45169155981438 19.9468054364769
"242" "YOR084W" 2.51918058226086e-11 6.56592803551815e-10 1.7829134872222 20.242235088921
"243" "YKL120W" 2.22342172951666e-11 6.08603554581507e-10 -1.54143033125831 -20.4403983170731
"244" "YDR258C" 2.17561380567723e-11 5.9801955952691e-10 1.66245511166149 20.4750749413394
"245" "YMR136W" 2.26155332402849e-11 6.11367018421256e-10 1.62338463587274 20.4133092461445
"246" "YGR250C" 2.28596640785991e-11 6.12901321320473e-10 1.85094657205745 20.3962221600656
"247" "YIL053W" 2.24089557831206e-11 6.08876432720997e-10 -1.69997514280872 -20.4279233061575
"248" "YER117W" 2.34857274101465e-11 6.24567596411295e-10 -1.29145598080707 -20.3532832284502
"249" "YGL227W" 2.7276831927672e-11 6.94656107292783e-10 1.67737972375454 20.1170029890633
"250" "YJR095W" 5.12119624695748e-12 2.26370715186458e-10 9.15605338641673 22.9121487108564
"251" "YHR143W" 2.45940443871026e-11 6.45580321567643e-10 -1.41390189977613 -20.2801988670756
"252" "YDR074W" 2.5343081234192e-11 6.57914434262237e-10 2.41489704439199 20.232780859749
"253" "YIL055C" 3.2198231545365e-11 7.79595350719369e-10 2.3042333344383 19.8581152919454
"254" "YOR096W" 2.4670602322212e-11 6.45580321567643e-10 -1.3190946375239 -20.2752816955633
"255" "YGR110W" 3.43798054915578e-11 8.11959160742855e-10 1.99922417874152 19.756661912746
"256" "YDR171W" 2.80981546280769e-11 7.02857191861156e-10 3.83482892063683 20.0704695727692
"257" "YML054C" 2.70619842909764e-11 6.94272553849285e-10 3.64790843714869 20.1294239390304
"258" "YBR291C" 2.72893029003738e-11 6.94656107292783e-10 -1.40752475081042 -20.1162852346865
"259" "YLR448W" 2.65342623926863e-11 6.83413955011629e-10 -1.38085828907938 -20.1603879517672
"260" "YNL069C" 2.61519695160477e-11 6.76229978553296e-10 -1.32492265116933 -20.1832347222292
"261" "YBR001C" 3.30573478253496e-11 7.86404252630681e-10 1.87692124375739 19.8173062699803
"262" "YDR032C" 2.76711855305014e-11 7.01646882715272e-10 1.47438596250602 20.0944752139471
"263" "YDL130W-A" 3.69084142774497e-11 8.45912217925879e-10 2.63453124518661 19.6473813370943
"264" "YDR513W" 3.05979831475304e-11 7.44133850376e-10 1.73358052158229 19.9373430147671
"265" "YIL042C" 3.61510719378132e-11 8.38653590841042e-10 1.90746748626529 19.6792473214086
"266" "YEL020C" 3.58998058449957e-11 8.35788362412676e-10 1.88083698600912 19.6899781642048
"267" "YKL182W" 2.81135418369703e-11 7.02857191861156e-10 1.3058568221646 20.0696117766396
"268" "YLR293C" 2.81486677266314e-11 7.02857191861156e-10 -1.37933057575095 -20.0676554882673
"269" "YER049W" 2.94739428330577e-11 7.30373234900999e-10 -1.58744132970977 -19.9957008863258
"270" "YLR180W" 2.87531370829706e-11 7.15220618999216e-10 -2.22462786021449 -20.0343950371542
"271" "YAL034C" 3.78643123992582e-11 8.63095232459747e-10 1.96278689924442 19.6081484045882
"272" "YJR061W" 3.39335162439073e-11 8.04322692998702e-10 1.5508804839177 19.7768433644685
"273" "YJR009C" 2.97240615459428e-11 7.31033122682548e-10 -1.80978030703566 -19.9825109711658
"274" "YOL064C" 3.0071043079687e-11 7.36796868267088e-10 -1.3530723283555 -19.9644089890793
"275" "YPL220W" 2.96827104846806e-11 7.31033122682548e-10 -1.19149959722867 -19.9846833648303
"276" "YPL201C" 1.88150077437543e-11 5.39858687103688e-10 7.59272049277706 20.708208980622
"277" "YDL222C" 4.58894900509939e-11 1.00168310224567e-09 5.08272159704027 19.3155450007167
"278" "YMR169C" 4.3654702321107e-11 9.74706698241235e-10 3.67752954314841 19.3911439313939
"279" "YBR212W" 3.22944573593624e-11 7.79595350719369e-10 1.36395631952761 19.8534866853737
